Location,Data,Goal,Coordinates,Title,Category,Data category
Colombian Pacific coast,Aerial images,Estimating above-ground biomass,"5.1615, -77.2487",Seeing the Forest for the Trees: Mapping Cover and Counting Trees from Aerial Images of a Mangrove Forest Using Artificial Intelligence,Canopy and biomass estimation,Drone imagery
Central Finland,Satellite synthetic aperture radar and optical remote sensing data,Mapping forest height,"63.00000, 27.00000",Improved Semisupervised UNet Deep Learning Model for Forest Height Mapping With Satellite SAR and Optical Data,Canopy and biomass estimation,Satellite imagery or LiDAR
Brazil,Sentinel imagery,Mapping forest vegetation in riparian zones,"-23.5505, -47.4791",A Machine Learning Approach for Mapping Forest Vegetation in Riparian Zones in an Atlantic Biome Environment Using Sentinel-2 Imagery,Forest cover assessment,Satellite imagery or LiDAR
"Baoding City, North China",Remote sensing data,Estimating forest height,"38.87655, 115.46461","Forest Height Mapping Using Feature Selection and Machine Learning by Integrating Multi-Source Satellite Data in Baoding City, North China",Canopy and biomass estimation,Satellite imagery or LiDAR
Morocco,Remote sensing data,Mapping forest fire susceptibility,"35.74158, -5.79913",Application of remote sensing and machine learning algorithms for forest fire mapping in a Mediterranean area,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Not specified,Backpack laser scanning data,Tree species classification,Not specified,Tree Species Classification of Backpack Laser Scanning Data Using the PointNet plus plus Point Cloud Deep Learning Method,Tree species classification,LiDAR
Brazilian Savanna,Landsat dense image time series,Mapping different forest types,"10.000000, -48.000000",EVALUATING THE SEPARABILITY BETWEEN DRY TROPICAL FORESTS AND SAVANNA WOODLANDS IN THE BRAZILIAN SAVANNA USING LANDSAT DENSE IMAGE TIME SERIES AND ARTIFICIAL INTELLIGENCE,Tree species classification,Satellite imagery or LiDAR
Not specified,UAVSAR multi-baseline PolInSAR L-band data,Estimating forest canopy height,"0.0, 0.0",A Method for Forest Canopy Height Inversion Based on Machine Learning and Feature Mining Using UAVSAR,Canopy and biomass estimation,Satellite imagery or LiDAR
Chile,UAV and remote sensing data,Species identification,"-35.67515, -71.54303",Using UAVs and Machine Learning for Nothofagus alessandrii Species Identification in Mediterranean Forests,Tree species classification,Drone imagery
Not specified,UAV images,Canopy volume extraction,Not specified,Canopy Volume Extraction of Citrus reticulate Blanco cv. Shatangju Trees Using UAV Image-Based Point Cloud Deep Learning,Canopy and biomass estimation,Drone imagery
Not specified,Images of tree leaves,Tree species identification,Not specified,Verification of a Deep Learning-Based Tree Species Identification Model Using Images of Broadleaf and Coniferous Tree Leaves,Tree species classification,Ground-level photographs
"Suwon, South Korea",Optical satellite images,Estimating fractional tree canopy cover,"37.26317, 126.99483",Estimation of Fractional Urban Tree Canopy Cover through Machine Learning Using Optical Satellite Images,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Multispectral LiDAR data,Enhancing forest fuel classification,Not specified,Wildfire response of forest species from multispectral LiDAR data. A deep learning approach with synthetic data,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Not specified,Image classification,Identifying endangered tree species,Not specified,Opening the black box: explainable deep-learning classification of wood microscopic image of endangered tree species,Tree species classification,Ground-level photographs
"Riau, Indonesia","Satellite imagery, UAV",Automatic detection and counting of oil palm trees,"0.43333, 101.45000",Automatic detection and counting of oil palm trees using remote sensing and object-based deep learning,Tree species classification,Satellite imagery or LiDAR
Not specified,Mobile laser scanning,Street tree segmentation,Not specified,Street tree segmentation from mobile laser scanning data using deep learning-based image instance segmentation,Tree species classification,LiDAR
"Shanghai, China",Landsat 8 and Sentinel-2 remote sensing data,Predicting aboveground carbon storage of urban forests,"31.2304, 121.4737","Prediction of Urban Forest Aboveground Carbon Using Machine Learning Based on Landsat 8 and Sentinel-2: A Case Study of Shanghai, China",Canopy and biomass estimation,Satellite imagery or LiDAR
Hong Kong,Tree survey data,Exploring tree biodiversity and structure,"22.44465, 114.04013",Analysing urban trees on verges and slopes along a highway using machine learning methods,Tree species classification,Animal or plant data
Not specified,Airborne LiDAR data,Individual tree crown segmentation,Not specified,Individual Tree Crown Segmentation Directly from UAV-Borne LiDAR Data Using the PointNet of Deep Learning,Tree species classification,Satellite imagery or LiDAR
Democratic Republic of Congo,Remote sensing data,Estimating aboveground biomass," -4.33842, 12.63442","BIOMASS ESTIMATION BASED ON MULTILINEAR REGRESSION AND MACHINE LEARNING ALGORITHMS IN THE MAYOMBE TROPICAL FOREST, IN THE DEMOCRATIC REPUBLIC OF CONGO",Canopy and biomass estimation,Satellite imagery or LiDAR
Amazon,UAV-captured RGB imagery,Identification of Amazonian Moriche palm,"-3.4653, -62.2159",Aerial Identification of Amazonian Palms in High-Density Forest Using Deep Learning,Tree species classification,Drone imagery
China,Remote sensing data,Predicting forest fires,"35.00000, 105.00000",Forest Fire Occurrence Prediction in China Based on Machine Learning Methods,Forest fire monitoring and prevention,Satellite imagery or LiDAR
West Africa,Satellite imagery,Mapping mangrove forests,"8.61954, -8.41423",Large-Scale High-Resolution Coastal Mangrove Forests Mapping Across West Africa With Machine Learning Ensemble and Satellite Big Data,Forest cover assessment,Satellite imagery
Belgium,Satellite imagery,Mapping tree species proportions,"50.60103, 5.56962",Mapping tree species proportions from satellite imagery using spectral-spatial deep learning,Tree species classification,Satellite imagery
Not specified,Remote sensing data,Estimating forest stand characteristics,Not specified,Comparison of Machine Learning Methods for Mapping the Stand Characteristics of Temperate Forests Using Multi-Spectral Sentinel-2 Data,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing data,Estimating forest biomass,Not specified,Deep Learning Based 3D Point Cloud Regression for Estimating Forest Biomass,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Satellite imagery,Mapping mangrove forests,"0.00000, 0.00000",Improving the accuracy of mangrove forest mapping using sentinel image and developed classification algorithm based on machine learning,Forest cover assessment,Satellite imagery
Hunan Province,Sentinel-2 satellite data,Dynamic detection of forest change,"26.30000, 113.30000",Dynamic Detection of Forest Change in Hunan Province Based on Sentinel-2 Images and Deep Learning,Forest cover assessment,Satellite imagery or LiDAR
Not specified,Very high-resolution satellite images,Forest damage detection,Not specified,Extending deep learning approaches for forest disturbance segmentation on very high-resolution satellite images,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Not specified,LiDAR point cloud data,Segmenting tree structures,"37.5665, 126.9772",Automated Segmentation of Individual Tree Structures Using Deep Learning over LiDAR Point Cloud Data,Tree species classification,Satellite imagery or LiDAR
Not specified,UAV images,Recognition of diseased Pinus trees,Not specified,Recognition of diseased Pinus trees in UAV images using deep learning and AdaBoost classifier,Tree species classification,Drone imagery
Not specified,Laser point cloud data,Tree species classification,Not specified,Classification of Typical Tree Species in Laser Point Cloud Based on Deep Learning,Tree species classification,LiDAR
Brazil,UAV imagery,Forest monitoring,"-15.7801, -47.9292",MACHINE LEARNING APPLIED TO UAV IMAGERY IN PRECISION AGRICULTURE AND FOREST MONITORING IN BRAZILILIAN SAVANAH,Forest cover assessment,Drone imagery
Romania and Greece,UAV imagery,Tree health assessment,"45.94316, 25.99717",Tree's detection & health's assessment from ultra-high resolution UAV imagery and deep learning,Habitat degradation and biodiversity monitoring,Drone imagery
Southern China,Remote sensing data,Understanding individual tree growth,"25.274398, 102.713376",Effects of stand factors on tree growth of Chinese fir in the subtropics of China depends on climate conditions from predictions of a deep learning algorithm: A long-term spacing trial,Tree species classification,Satellite imagery or LiDAR
Not specified,Remote sensing data,Next day wildfire prediction,Not specified,Estimating Next Day's Forest Fire Risk via a Complete Machine Learning Methodology,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Japan,UAV-acquired images,Detection of invasive species,"36.20482, 138.25293","Computer Vision and Deep Learning Techniques for the Analysis of Drone-Acquired Forest Images, a Transfer Learning Study",Habitat degradation and biodiversity monitoring,Drone imagery
Ecuador,Multi-source satellite data,Mapping tree species alpha-diversity,"-1.83124, -78.18341",Ensemble Machine Learning for Mapping Tree Species Alpha-Diversity Using Multi-Source Satellite Data in an Ecuadorian Seasonally Dry Forest,Tree species classification,Satellite imagery or LiDAR
"Ait Bouzid forest, Morocco",Sentinel-2 data,Forest species mapping,"32.3000, -6.2000","Evaluation of machine learning algorithms for forest species mapping based on Sentinel 2 data: a case study of Ait Bouzid forest (Central High Atlas, Morocco)",Tree species classification,Satellite imagery or LiDAR
Not specified,Remote sensing data,Improving forest quality,"30.2941, 119.7228","Assessing Forest Quality through Forest Growth Potential, an Index Based on Improved CatBoost Machine Learning",Forest cover assessment,Satellite imagery or LiDAR
