Location,Data,Goal,Coordinates,Title,Category
Not specified,LiDAR point clouds,Tree stem segmentation,Not specified,Using Synthetic Tree Data in Deep Learning-Based Tree Segmentation Using LiDAR Point Clouds,Tree species classification
India,MODIS fire hotspots,Predicting forest fire susceptibility,"20.593684, 78.962880",Assessing the predictive efficacy of six machine learning algorithms for the susceptibility of Indian forests to fire,Forest fire monitoring and prevention
Not specified,Drone images,Forest fire detection,Not specified,Exploiting drone images for forest fire detection using metaheuristics with deep learning model,Forest fire monitoring and prevention
China,Multisource data,Assessing forest fire risks,"35.86166, 104.195397","Assessment of China's forest fire occurrence with deep learning, geographic information and multisource data",Forest fire monitoring and prevention
"WA and NSW, Australia",Ultrasonic signals,Tree health assessment,"-31.9505, 115.8605",Standing tree health assessment using contact-ultrasonic testing and machine learning,Tree species classification
Not specified,Remote sensing data,Tree detection and crown extraction,Not specified,Cherry Tree Crown Extraction Using Machine Learning Based on Images from UAVs,Tree species classification
China,Not specified,Assessing forest fire vulnerability,"35.86166, 104.195397",Spatiotemporal Assessment of Forest Fire Vulnerability in China Using Automated Machine Learning,Forest fire monitoring and prevention
Gabon,InSAR data,Estimating forest height,"-0.80369, 11.60944",POTENTIAL OF DEEP LEARNING FOR FOREST HEIGHT ESTIMATION FROM TANDEM-X BISTATIC INSAR DATA,Canopy and biomass estimation
Iran,Remote sensing data,Predicting forest fire susceptibility,"36.65125, 54.09368",Forest Fire Susceptibility Prediction Based on Machine Learning Models with Resampling Algorithms on Remote Sensing Data,Forest fire monitoring and prevention
Poland,PlanetScope satellite images,Tree-cutting detection,"52.06578, 19.11041",Comparing Object-Based and Pixel-Based Machine Learning Models for Tree-Cutting Detection with PlanetScope Satellite Images: Exploring Model Generalization,Habitat degradation and biodiversity monitoring
Not specified,Point cloud data,Enhancing annotation efficiency and semantic segmentation of forestry point clouds,Not specified,PointDMM: A Deep-Learning-Based Semantic Segmentation Method for Point Clouds in Complex Forest Environments,Canopy and biomass estimation
South Korea,High-resolution remote sensing data,Estimating forest carbon stocks,"35.9078, 127.7669",Estimation of Forest Carbon Stock in South Korea Using Machine Learning with High-Resolution Remote Sensing Data,Canopy and biomass estimation
"Daxing'anling Mountains, China",Remote sensing data,Estimating above-ground biomass,"50.7060, 120.5703",A Multi-Scale Forest Above-Ground Biomass Mapping Approach: Employing a Step-by-Step Spatial Downscaling Method with Bias-Corrected Ensemble Machine Learning,Canopy and biomass estimation
Not specified,Remote sensing data,Estimating forest biomass,Not specified,Combining Multisource Data and Machine Learning Approaches for Multiscale Estimation of Forest Biomass,Canopy and biomass estimation
Not specified,Airborne LiDAR data,Tree species classification,Not specified,TREE SPECIES CLASSFIFCATION USING DEEP LEARNING BASED 3D POINT CLOUD TRANSFORMER ON AIRBORNE LIDAR DATA,Tree species classification
Brazil,Airborne LiDAR data,Mapping canopy palm cover,"-3.4653, -62.2159",Canopy palm cover across the Brazilian Amazon forests mapped with airborne LiDAR data and deep learning,Canopy and biomass estimation
Qingyuan County,Sentinel-2,Forest tree species classification,"23.6902, 113.1859",Deep Learning in Forest Tree Species Classification Using Sentinel-2 on Google Earth Engine: A Case Study of Qingyuan County,Tree species classification
Northeastern China,Ground-source forest inventory data,Understanding tree species diversity patterns,"42.0000, 126.0000",Understanding patterns and potential drivers of forest diversity in northeastern China using machine-learning algorithms,Tree species classification
Mexico,Remote sensing data,Estimating aboveground biomass,"26.03243, -107.15570",Modeling of Aboveground Biomass with Landsat 8 OLI and Machine Learning in Temperate Forests,Canopy and biomass estimation
Northern Thailand,Remote sensing data,Investigating forest cover change,"19.3013, 98.5524",Using a Logistic Regression Model to Examine the Variables Influencing Changes in Northern Thailand's Forest Cover and Comparing Machine Learning Algorithms,Forest cover assessment
Pacific Northwest region of US,RGB and point cloud data,Automating tree training operations,"46.60028, -120.55420",Deep learning based segmentation for automated training of apple trees on trellis wires,Tree species classification
Colombian Pacific coast,Aerial images,Estimating above-ground biomass,"5.1615, -77.2487",Seeing the Forest for the Trees: Mapping Cover and Counting Trees from Aerial Images of a Mangrove Forest Using Artificial Intelligence,Canopy and biomass estimation
Central Finland,Satellite synthetic aperture radar and optical remote sensing data,Mapping forest height,"63.00000, 27.00000",Improved Semisupervised UNet Deep Learning Model for Forest Height Mapping With Satellite SAR and Optical Data,Canopy and biomass estimation
Not specified,Image data,Forest fire detection,Not specified,Research on a Real-Time Monitoring System for Campus Woodland Fires via Deep Learning,Forest fire monitoring and prevention
Brazil,Sentinel imagery,Mapping forest vegetation in riparian zones,"-23.5505, -47.4791",A Machine Learning Approach for Mapping Forest Vegetation in Riparian Zones in an Atlantic Biome Environment Using Sentinel-2 Imagery,Forest cover assessment
"Baoding City, North China",Remote sensing data,Estimating forest height,"38.87655, 115.46461","Forest Height Mapping Using Feature Selection and Machine Learning by Integrating Multi-Source Satellite Data in Baoding City, North China",Canopy and biomass estimation
Not specified,Remote sensing data,Improving forest image segmentation accuracy,"35.00000, 100.00000",Improvements in Forest Segmentation Accuracy Using a New Deep Learning Architecture and Data Augmentation Technique,Forest cover assessment
Morocco,Remote sensing data,Mapping forest fire susceptibility,"35.74158, -5.79913",Application of remote sensing and machine learning algorithms for forest fire mapping in a Mediterranean area,Forest fire monitoring and prevention
Not specified,Backpack laser scanning data,Tree species classification,Not specified,Tree Species Classification of Backpack Laser Scanning Data Using the PointNet plus plus Point Cloud Deep Learning Method,Tree species classification
Brazilian Savanna,Landsat dense image time series,Mapping different forest types,"10.000000, -48.000000",EVALUATING THE SEPARABILITY BETWEEN DRY TROPICAL FORESTS AND SAVANNA WOODLANDS IN THE BRAZILIAN SAVANNA USING LANDSAT DENSE IMAGE TIME SERIES AND ARTIFICIAL INTELLIGENCE,Tree species classification
Not specified,UAVSAR multi-baseline PolInSAR L-band data,Estimating forest canopy height,"0.0, 0.0",A Method for Forest Canopy Height Inversion Based on Machine Learning and Feature Mining Using UAVSAR,Canopy and biomass estimation
Northeast China,Hyperspectral data,Tree species classification,"41.7628, 128.7189","Mapping Tree Species Composition Using OHS-1 Hyperspectral Data and Deep Learning Algorithms in Changbai Mountains, Northeast China",Tree species classification
Gabon,Airborne multi-baseline PolInSAR data,Estimating above-ground biomass (AGB),"-0.80369, 11.60944",High-density forest AGB estimation in tropical forest integrated with PolInSAR multidimensional features and optimized machine learning algorithms,Canopy and biomass estimation
Chile,UAV and remote sensing data,Species identification,"-35.67515, -71.54303",Using UAVs and Machine Learning for Nothofagus alessandrii Species Identification in Mediterranean Forests,Tree species classification
Not specified,UAV images,Canopy volume extraction,Not specified,Canopy Volume Extraction of Citrus reticulate Blanco cv. Shatangju Trees Using UAV Image-Based Point Cloud Deep Learning,Canopy and biomass estimation
Not specified,Images of tree leaves,Tree species identification,Not specified,Verification of a Deep Learning-Based Tree Species Identification Model Using Images of Broadleaf and Coniferous Tree Leaves,Tree species classification
"Suwon, South Korea",Optical satellite images,Estimating fractional tree canopy cover,"37.26317, 126.99483",Estimation of Fractional Urban Tree Canopy Cover through Machine Learning Using Optical Satellite Images,Canopy and biomass estimation
Not specified,Multispectral LiDAR data,Enhancing forest fuel classification,Not specified,Wildfire response of forest species from multispectral LiDAR data. A deep learning approach with synthetic data,Forest fire monitoring and prevention
Not specified,Image classification,Identifying endangered tree species,Not specified,Opening the black box: explainable deep-learning classification of wood microscopic image of endangered tree species,Tree species classification
"Riau, Indonesia","Satellite imagery, UAV",Automatic detection and counting of oil palm trees,"0.43333, 101.45000",Automatic detection and counting of oil palm trees using remote sensing and object-based deep learning,Tree species classification
